id,objectID,title,designer_names,designers,price,sold_price,sold_price_includes_shipping,sold_shipping_price,price_drops,created_at,sold_at,bumped_at,price_updated_at,size,category,category_path,category_size,condition,color,department,location,traits,styles,badges,cover_photo_url,photo_count,measurement_count,seller_id,seller_username,seller_rating,seller_rating_count,seller_trusted,seller_total_bought_sold,marketplace,strata,buynow,makeoffer,dropped,listing_url,shipping.us.amount,shipping.us.enabled,shipping.ca.amount,shipping.ca.enabled,shipping.uk.amount,shipping.uk.enabled,shipping.eu.amount,shipping.eu.enabled,shipping.asia.amount,shipping.asia.enabled,shipping.au.amount,shipping.au.enabled,shipping.other.amount,shipping.other.enabled
86096771,86096771,Vintage Y2K Speeding Ticket Excuses Parody Shirt,Vintage,"[{'id': 160, 'name': 'Vintage'}]",20,8,False,9,[],2025-10-07T22:07:45.870Z,2026-03-04T04:04:43.819Z,2025-10-07T22:07:36.790Z,2025-10-07T22:07:45.870Z,xl,tops,tops.short_sleeve_shirts,tops.xl,is_gently_used,blue,menswear,United States,"[{'name': 'color', 'value': 'blue'}, {'name': 'country_of_origin', 'value': 'MX'}]",['vintage'],[],https://media-assets.grailed.com/prd/listing/temp/f7535a28fa0c467abf7dfd22d246c4cb,3,2,656554,Burymeinvintage_,4.972222222222222,36,True,99,grailed,basic,True,True,False,https://grailed.com/listings/86096771,9,True,0,False,0,False,0,False,0,False,0,False,0,False
80284769,80284769,Norse Project combat Wool cordura blazer,Norse Projects,"[{'id': 87, 'name': 'Norse Projects'}]",64,40,False,20,"[100, 90, 72, 64]",2025-05-28T01:21:11.004Z,2026-03-04T04:04:14.766Z,2025-05-28T01:21:05.219Z,2025-12-22T08:07:20.550Z,36r,tailoring,tailoring.blazers,tailoring.36r,is_new,black,menswear,United States,"[{'name': 'color', 'value': 'black'}, {'name': 'country_of_origin', 'value': 'CN'}]",[],[],https://media-assets.grailed.com/prd/listing/temp/522600491f2e4a378a6f2eb120866804,4,0,411418,wardroberesearch,4.80327868852459,61,False,122,grailed,grailed,True,True,True,https://grailed.com/listings/80284769,20,True,40,True,40,True,40,True,40,True,40,True,40,True
92524606,92524606,Bape ABC Blue Camo Beach Shorts,Bape,"[{'id': 38, 'name': 'Bape'}]",90,90,False,9,"[115, 103, 90]",2026-02-16T15:22:18.052Z,2026-03-04T04:03:14.825Z,2026-02-16T15:21:08.879Z,2026-02-28T06:35:27.515Z,30,bottoms,bottoms.shorts,bottoms.30,is_used,blue,menswear,United States,"[{'name': 'color', 'value': 'blue'}, {'name': 'country_of_origin', 'value': 'US'}]",['streetwear'],[],https://media-assets.grailed.com/prd/listing/temp/3a33d6e7d7fa4d0a9b92400771c9639f,5,0,9040076,deadboyjay,,0,False,8,grailed,hype,True,True,True,https://grailed.com/listings/92524606,9,True,10,True,10,True,10,True,10,True,10,True,25,True
86128247,86128247,Jean Paul Gaultier Monsieur Tuxe short blazer jacket,Jean Paul Gaultier,"[{'id': 1511, 'name': 'Jean Paul Gaultier'}]",250,179,False,70,[],2025-10-08T16:23:49.332Z,2026-03-04T04:03:04.593Z,2025-10-08T16:23:32.682Z,2025-10-08T16:23:49.332Z,s,outerwear,outerwear.light_jackets,outerwear.s,is_new,black,menswear,Asia,"[{'name': 'color', 'value': 'black'}, {'name': 'country_of_origin', 'value': 'IT'}]",['luxury'],[],https://media-assets.grailed.com/prd/listing/temp/d1b224d9f22b4bfdb534eebc712a92f0,8,4,688963,XPXYX,4.714285714285714,28,False,58,grailed,grailed,True,True,False,https://grailed.com/listings/86128247,0,False,40,True,40,True,40,True,20,True,30,True,25,True
83102629,83102629,Neighborhood x Harley Davidson Jacket,Harley Davidson × Neighborhood,"[{'id': 1556, 'name': 'Harley Davidson'}, {'id': 627, 'name': 'Neighborhood'}]",446,320,False,0,"[569, 496, 446]",2025-08-01T19:50:38.717Z,2026-03-04T04:02:26.206Z,2025-08-01T19:50:23.425Z,2025-09-23T08:08:51.014Z,m,outerwear,outerwear.bombers,outerwear.m,is_gently_used,black,menswear,United States,"[{'name': 'color', 'value': 'black'}, {'name': 'country_of_origin', 'value': 'JP'}]",[],[],https://media-assets.grailed.com/prd/listing/temp/18d9076fac8e46e39d3b8dd4d458d8fb,6,5,8696841,Christoferkung,5.0,5,False,16,grailed,grailed,True,True,True,https://grailed.com/listings/83102629,0,True,20,True,30,True,25,True,0,False,0,False,0,False
90648590,90648590,Hmddla H Star Crystal Jeans,HMDD,"[{'id': 40684, 'name': 'HMDD'}]",160,145,False,15,"[180, 160]",2026-01-10T02:36:56.094Z,2026-03-04T04:02:12.685Z,2026-01-10T01:12:31.902Z,2026-02-05T02:26:07.932Z,34,bottoms,bottoms.denim,bottoms.34,is_gently_used,black,menswear,United States,"[{'name': 'color', 'value': 'black'}, {'name': 'country_of_origin', 'value': 'US'}]",['streetwear'],[],https://media-assets.grailed.com/prd/listing/temp/30e45e2b400b4b3496076e298eeeb68b,4,1,2972373,Dev_10,5.0,2,False,41,grailed,hype,True,True,True,https://grailed.com/listings/90648590,15,True,0,False,20,False,0,False,0,False,0,False,0,False
81876653,81876653,Rick Owens DRKSHDW Milk LS Tee,Rick Owens Drkshdw,"[{'id': 583, 'name': 'Rick Owens Drkshdw'}]",250,150,False,15,[],2025-07-03T22:10:37.642Z,2026-03-04T04:02:05.155Z,2025-07-03T22:10:37.642Z,2025-07-03T22:10:37.642Z,xs,tops,tops.long_sleeve_shirts,tops.xs,is_gently_used,white,menswear,Canada,"[{'name': 'color', 'value': 'white'}, {'name': 'country_of_origin', 'value': 'IT'}]",[],[],https://media-assets.grailed.com/prd/listing/35462575/ef514f3149ec4a52a9f7be7ef5cf8381,5,0,114855,AlexSkeffington,4.904761904761905,14,True,29,grailed,grailed,False,True,False,https://grailed.com/listings/81876653,15,True,20,True,50,True,60,True,60,True,60,True,60,True
93023109,93023109,Chrome Hearts Matty Boy Camo Crewneck Sweater Size M,Chrome Hearts,"[{'id': 405, 'name': 'Chrome Hearts'}]",600,600,False,40,[],2026-02-27T13:15:14.426Z,2026-03-04T04:01:55.680Z,2026-02-26T21:28:46.656Z,2026-02-27T13:15:14.426Z,m,tops,tops.sweaters_knitwear,tops.m,is_gently_used,multi,menswear,United States,"[{'name': 'color', 'value': 'multi'}, {'name': 'country_of_origin', 'value': 'US'}]",['luxury'],[],https://media-assets.grailed.com/prd/listing/temp/21c31eac784946bfba769c663cabdd47,7,0,1047336,AidanG223,5.0,16,True,59,grailed,grailed,True,True,False,https://grailed.com/listings/93023109,15,True,30,True,40,True,40,True,50,True,0,False,0,False
88524937,88524937,Burberry joggers men pants sweatpants L XL big logo,Burberry,"[{'id': 227, 'name': 'Burberry'}]",61,61,False,10,"[85, 76, 68, 61]",2025-11-27T23:18:53.190Z,2026-03-04T04:01:51.537Z,2025-12-25T23:18:59.392Z,2026-02-08T22:49:34.535Z,34,bottoms,bottoms.sweatpants_joggers,bottoms.34,is_gently_used,blue,menswear,Europe,"[{'name': 'color', 'value': 'blue'}, {'name': 'country_of_origin', 'value': 'PT'}]",[],[],https://media-assets.grailed.com/prd/listing/temp/2fc98cc1bff4454a9601aaeeeeaaa8ce,17,4,1656231,MilkovShop,4.879725085910653,1164,True,3320,grailed,grailed,True,True,True,https://grailed.com/listings/88524937,10,True,10,True,10,True,10,True,10,True,10,True,10,True
84671305,84671305,WHO DECIDES WAR LEATHER CREAM CROWN OF THORNS PANTS SIZE 38,Who Decides War,"[{'id': 39163, 'name': 'Who Decides War'}]",530,450,False,15,[],2025-09-04T17:58:49.574Z,2026-03-04T03:59:36.341Z,2025-09-04T17:58:43.773Z,2025-11-25T06:47:58.511Z,38,bottoms,bottoms.casual_pants,bottoms.38,is_new,multi,menswear,United States,"[{'name': 'color', 'value': 'multi'}, {'name': 'country_of_origin', 'value': 'US'}]",[],[],https://media-assets.grailed.com/prd/listing/temp/00ccd6c024af47d4942640eb51b438bd,7,0,11863189,dvapercent,4.951219512195122,82,True,271,grailed,hype,True,True,False,https://grailed.com/listings/84671305,15,True,45,True,45,True,45,True,45,True,45,True,0,False
